,index,NUMBER,STREET,CITY,REGION,POSTCODE,ADDRESS,bathrooms,bedrooms,comps_link,graphs_data,home_details,last_sold_date,last_sold_price,lot_size_sqft,map,sqft,valuation_range_high,valuation_range_low,year_built,zestimate
834,8834,53,Melinda Ln,Bella Vista,AR,72714,53 Melinda Ln Bella Vista AR,2.0,2,http://www.zillow.com/homes/comps/70711985_zpid/,http://www.zillow.com/homedetails/53-Melinda-Ln-Bella-Vista-AR-72714/70711985_zpid/#charts-and-data,http://www.zillow.com/homedetails/53-Melinda-Ln-Bella-Vista-AR-72714/70711985_zpid/,03/08/2011,130000,3485,http://www.zillow.com/homes/70711985_zpid/,1524,126568.0,106459.0,1983,118288.0
835,8835,54,Melinda Ln,Bella Vista,AR,72714,54 Melinda Ln Bella Vista AR,2.0,2,http://www.zillow.com/homes/comps/70640177_zpid/,http://www.zillow.com/homedetails/54-Melinda-Ln-Bella-Vista-AR-72714/70640177_zpid/#charts-and-data,http://www.zillow.com/homedetails/54-Melinda-Ln-Bella-Vista-AR-72714/70640177_zpid/,05/06/2016,75000,2178,http://www.zillow.com/homes/70640177_zpid/,1152,81623.0,73849.0,,77736.0
836,8836,55,Melinda Ln,Bella Vista,AR,72714,55 Melinda Ln Bella Vista AR,2.0,,http://www.zillow.com/homes/comps/70669348_zpid/,http://www.zillow.com/homedetails/55-Melinda-Ln-Bella-Vista-AR-72714/70669348_zpid/#charts-and-data,http://www.zillow.com/homedetails/55-Melinda-Ln-Bella-Vista-AR-72714/70669348_zpid/,04/24/2006,94000,3485,http://www.zillow.com/homes/70669348_zpid/,1524,131701.0,113064.0,,124246.0
837,8837,56,Melinda Ln,Bella Vista,AR,72714,56 Melinda Ln Bella Vista AR,2.0,2,http://www.zillow.com/homes/comps/70626326_zpid/,http://www.zillow.com/homedetails/56-Melinda-Ln-Bella-Vista-AR-72714/70626326_zpid/#charts-and-data,http://www.zillow.com/homedetails/56-Melinda-Ln-Bella-Vista-AR-72714/70626326_zpid/,07/29/2014,78000,1742,http://www.zillow.com/homes/70626326_zpid/,1272,106873.0,92623.0,1981,101784.0
838,8838,58,Melinda Ln,Bella Vista,AR,72714,58 Melinda Ln Bella Vista AR,2.0,,http://www.zillow.com/homes/comps/70683288_zpid/,http://www.zillow.com/homedetails/58-Melinda-Ln-Bella-Vista-AR-72714/70683288_zpid/#charts-and-data,http://www.zillow.com/homedetails/58-Melinda-Ln-Bella-Vista-AR-72714/70683288_zpid/,08/06/2003,80000,1742,http://www.zillow.com/homes/70683288_zpid/,1128,92038.0,79136.0,,86017.0
839,8839,2,Melissa Ln,Bella Vista,AR,72715,2 Melissa Ln Bella Vista AR,2.0,2,http://www.zillow.com/homes/comps/70656508_zpid/,http://www.zillow.com/homedetails/2-Melissa-Ln-Bella-Vista-AR-72715/70656508_zpid/#charts-and-data,http://www.zillow.com/homedetails/2-Melissa-Ln-Bella-Vista-AR-72715/70656508_zpid/,05/21/2015,68500,3049,http://www.zillow.com/homes/70656508_zpid/,1088,96017.0,85958.0,1979,91445.0
840,8840,4,Melissa Ln,Bella Vista,AR,72715,4 Melissa Ln Bella Vista AR,2.0,3,http://www.zillow.com/homes/comps/70642969_zpid/,http://www.zillow.com/homedetails/4-Melissa-Ln-Bella-Vista-AR-72715/70642969_zpid/#charts-and-data,http://www.zillow.com/homedetails/4-Melissa-Ln-Bella-Vista-AR-72715/70642969_zpid/,08/21/2015,99900,3049,http://www.zillow.com/homes/70642969_zpid/,1628,136711.0,116268.0,,127767.0
841,8841,6,Melissa Ln,Bella Vista,AR,72715,6 Melissa Ln Bella Vista AR,2.0,2,http://www.zillow.com/homes/comps/70730291_zpid/,http://www.zillow.com/homedetails/6-Melissa-Ln-Bella-Vista-AR-72715/70730291_zpid/#charts-and-data,http://www.zillow.com/homedetails/6-Melissa-Ln-Bella-Vista-AR-72715/70730291_zpid/,11/09/2015,70000,2178,http://www.zillow.com/homes/70730291_zpid/,1088,87256.0,77284.0,,83101.0
842,8842,8,Melissa Ln,Bella Vista,AR,72715,8 Melissa Ln Bella Vista AR,2.0,,http://www.zillow.com/homes/comps/70716708_zpid/,http://www.zillow.com/homedetails/8-Melissa-Ln-Bella-Vista-AR-72715/70716708_zpid/#charts-and-data,http://www.zillow.com/homedetails/8-Melissa-Ln-Bella-Vista-AR-72715/70716708_zpid/,11/22/2004,85000,1307,http://www.zillow.com/homes/70716708_zpid/,1712,116717.0,78518.0,,106106.0
843,8843,10,Melissa Ln,Bella Vista,AR,72715,10 Melissa Ln Bella Vista AR,2.0,2,http://www.zillow.com/homes/comps/70633430_zpid/,http://www.zillow.com/homedetails/10-Melissa-Ln-Bella-Vista-AR-72715/70633430_zpid/#charts-and-data,http://www.zillow.com/homedetails/10-Melissa-Ln-Bella-Vista-AR-72715/70633430_zpid/,08/28/2015,109500,21780,http://www.zillow.com/homes/70633430_zpid/,1952,136174.0,94366.0,1976,119451.0
