,index,NUMBER,STREET,CITY,REGION,POSTCODE,ADDRESS,bathrooms,bedrooms,comps_link,graphs_data,home_details,last_sold_date,last_sold_price,lot_size_sqft,map,sqft,valuation_range_high,valuation_range_low,year_built,zestimate
0,11000,6,Romine Ln,Bella Vista,AR,72715,6 Romine Ln Bella Vista AR,2.0,,http://www.zillow.com/homes/comps/70686260_zpid/,http://www.zillow.com/homedetails/6-Romine-Ln-Bella-Vista-AR-72715/70686260_zpid/#charts-and-data,http://www.zillow.com/homedetails/6-Romine-Ln-Bella-Vista-AR-72715/70686260_zpid/,03/29/2007,220000,14375,http://www.zillow.com/homes/70686260_zpid/,2207,237508.0,201993.0,2005,221970.0
1,11001,7,Romine Ln,Bella Vista,AR,72715,7 Romine Ln Bella Vista AR,2.0,3,http://www.zillow.com/homes/comps/70612678_zpid/,http://www.zillow.com/homedetails/7-Romine-Ln-Bella-Vista-AR-72715/70612678_zpid/#charts-and-data,http://www.zillow.com/homedetails/7-Romine-Ln-Bella-Vista-AR-72715/70612678_zpid/,02/02/2000,156000,14374,http://www.zillow.com/homes/70612678_zpid/,2005,223339.0,202069.0,1998,212704.0
2,11002,7,Romine Pl,Bella Vista,AR,72715,7 Romine Pl Bella Vista AR,2.0,3,http://www.zillow.com/homes/comps/70658247_zpid/,http://www.zillow.com/homedetails/7-Romine-Pl-Bella-Vista-AR-72715/70658247_zpid/#charts-and-data,http://www.zillow.com/homedetails/7-Romine-Pl-Bella-Vista-AR-72715/70658247_zpid/,12/15/2011,175000,13939,http://www.zillow.com/homes/70658247_zpid/,2022,217562.0,196842.0,1999,207202.0
3,11003,8,Romine Ln,Bella Vista,AR,72715,8 Romine Ln Bella Vista AR,3.0,3,http://www.zillow.com/homes/comps/70665674_zpid/,http://www.zillow.com/homedetails/8-Romine-Ln-Bella-Vista-AR-72715/70665674_zpid/#charts-and-data,http://www.zillow.com/homedetails/8-Romine-Ln-Bella-Vista-AR-72715/70665674_zpid/,09/12/2012,230000,14810,http://www.zillow.com/homes/70665674_zpid/,3028,270752.0,240100.0,2003,255426.0
4,11004,11,Romine Pl,Bella Vista,AR,72715,11 Romine Pl Bella Vista AR,2.0,,http://www.zillow.com/homes/comps/70637798_zpid/,http://www.zillow.com/homedetails/11-Romine-Pl-Bella-Vista-AR-72715/70637798_zpid/#charts-and-data,http://www.zillow.com/homedetails/11-Romine-Pl-Bella-Vista-AR-72715/70637798_zpid/,01/01/2004,5000,90,http://www.zillow.com/homes/70637798_zpid/,2172,244421.0,204848.0,1998,232782.0
5,11005,15,Romine Ln,Bella Vista,AR,72715,15 Romine Ln Bella Vista AR,2.0,,http://www.zillow.com/homes/comps/70676647_zpid/,http://www.zillow.com/homedetails/15-Romine-Ln-Bella-Vista-AR-72715/70676647_zpid/#charts-and-data,http://www.zillow.com/homedetails/15-Romine-Ln-Bella-Vista-AR-72715/70676647_zpid/,07/17/2006,4000,25700,http://www.zillow.com/homes/70676647_zpid/,2605,367634.0,256332.0,2005,337279.0
6,11006,11,Romney Ln,Bella Vista,AR,72715,11 Romney Ln Bella Vista AR,2.0,3,http://www.zillow.com/homes/comps/70701112_zpid/,http://www.zillow.com/homedetails/11-Romney-Ln-Bella-Vista-AR-72715/70701112_zpid/#charts-and-data,http://www.zillow.com/homedetails/11-Romney-Ln-Bella-Vista-AR-72715/70701112_zpid/,06/15/2016,204900,16117,http://www.zillow.com/homes/70701112_zpid/,2083,215599.0,195065.0,2006,205332.0
7,11007,2,Romsey Ln,Bella Vista,AR,72714,2 Romsey Ln Bella Vista AR,2.0,,http://www.zillow.com/homes/comps/70670716_zpid/,http://www.zillow.com/homedetails/2-Romsey-Ln-Bella-Vista-AR-72714/70670716_zpid/#charts-and-data,http://www.zillow.com/homedetails/2-Romsey-Ln-Bella-Vista-AR-72714/70670716_zpid/,02/17/2009,80000,12197,http://www.zillow.com/homes/70670716_zpid/,1296,126638.0,114578.0,,120608.0
8,11008,8,Romsey Ln,Bella Vista,AR,72714,8 Romsey Ln Bella Vista AR,2.0,,http://www.zillow.com/homes/comps/70645510_zpid/,http://www.zillow.com/homedetails/8-Romsey-Ln-Bella-Vista-AR-72714/70645510_zpid/#charts-and-data,http://www.zillow.com/homedetails/8-Romsey-Ln-Bella-Vista-AR-72714/70645510_zpid/,09/12/2012,230000,19602,http://www.zillow.com/homes/70645510_zpid/,1694,168843.0,152763.0,,160803.0
9,11009,2,Roos Cir,Bella Vista,AR,72714,2 Roos Cir Bella Vista AR,2.0,3,http://www.zillow.com/homes/comps/70681161_zpid/,http://www.zillow.com/homedetails/2-Roos-Cir-Bella-Vista-AR-72714/70681161_zpid/#charts-and-data,http://www.zillow.com/homedetails/2-Roos-Cir-Bella-Vista-AR-72714/70681161_zpid/,12/09/2014,136000,17860,http://www.zillow.com/homes/70681161_zpid/,1785,174455.0,156179.0,1993,166148.0
10,11010,2,Rori Ln,Bella Vista,AR,72715,2 Rori Ln Bella Vista AR,4.5,,http://www.zillow.com/homes/comps/70611117_zpid/,http://www.zillow.com/homedetails/2-Rori-Ln-Bella-Vista-AR-72715/70611117_zpid/#charts-and-data,http://www.zillow.com/homedetails/2-Rori-Ln-Bella-Vista-AR-72715/70611117_zpid/,04/12/2004,34667,95832,http://www.zillow.com/homes/70611117_zpid/,4039,535086.0,484126.0,2006,509606.0
11,11011,1,Rosedale Ln,Bella Vista,AR,72715,1 Rosedale Ln Bella Vista AR,3.0,4,http://www.zillow.com/homes/comps/70702518_zpid/,http://www.zillow.com/homedetails/1-Rosedale-Ln-Bella-Vista-AR-72715/70702518_zpid/#charts-and-data,http://www.zillow.com/homedetails/1-Rosedale-Ln-Bella-Vista-AR-72715/70702518_zpid/,11/28/2016,249900,26571,http://www.zillow.com/homes/70702518_zpid/,3500,273297.0,227322.0,1990,255418.0
12,11012,2,Rosedale Ln,Bella Vista,AR,72715,2 Rosedale Ln Bella Vista AR,2.0,,http://www.zillow.com/homes/comps/70699081_zpid/,http://www.zillow.com/homedetails/2-Rosedale-Ln-Bella-Vista-AR-72715/70699081_zpid/#charts-and-data,http://www.zillow.com/homedetails/2-Rosedale-Ln-Bella-Vista-AR-72715/70699081_zpid/,03/20/1991,92000,13504,http://www.zillow.com/homes/70699081_zpid/,1776,167599.0,147425.0,,155184.0
13,11013,4,Rosedale Ln,Bella Vista,AR,72715,4 Rosedale Ln Bella Vista AR,2.0,3,http://www.zillow.com/homes/comps/70601656_zpid/,http://www.zillow.com/homedetails/4-Rosedale-Ln-Bella-Vista-AR-72715/70601656_zpid/#charts-and-data,http://www.zillow.com/homedetails/4-Rosedale-Ln-Bella-Vista-AR-72715/70601656_zpid/,11/19/2015,101000,11761,http://www.zillow.com/homes/70601656_zpid/,1484,127489.0,115347.0,1978,121418.0
14,11014,5,Rosedale Ln,Bella Vista,AR,72715,5 Rosedale Ln Bella Vista AR,2.0,3,http://www.zillow.com/homes/comps/70661206_zpid/,http://www.zillow.com/homedetails/5-Rosedale-Ln-Bella-Vista-AR-72715/70661206_zpid/#charts-and-data,http://www.zillow.com/homedetails/5-Rosedale-Ln-Bella-Vista-AR-72715/70661206_zpid/,10/05/2015,100000,14374,http://www.zillow.com/homes/70661206_zpid/,1480,141090.0,126309.0,1985,134371.0
15,11015,7,Rosedale Ln,Bella Vista,AR,72715,7 Rosedale Ln Bella Vista AR,3.0,4,http://www.zillow.com/homes/comps/70671190_zpid/,http://www.zillow.com/homedetails/7-Rosedale-Ln-Bella-Vista-AR-72715/70671190_zpid/#charts-and-data,http://www.zillow.com/homedetails/7-Rosedale-Ln-Bella-Vista-AR-72715/70671190_zpid/,09/05/2007,264000,18295,http://www.zillow.com/homes/70671190_zpid/,2447,249759.0,225973.0,2007,237866.0
16,11016,12,Rosedale Ln,Bella Vista,AR,72715,12 Rosedale Ln Bella Vista AR,2.5,,http://www.zillow.com/homes/comps/70624949_zpid/,http://www.zillow.com/homedetails/12-Rosedale-Ln-Bella-Vista-AR-72715/70624949_zpid/#charts-and-data,http://www.zillow.com/homedetails/12-Rosedale-Ln-Bella-Vista-AR-72715/70624949_zpid/,10/11/2006,179000,16117,http://www.zillow.com/homes/70624949_zpid/,1404,157852.0,141471.0,,148917.0
17,11017,13,Rosedale Ln,Bella Vista,AR,72715,13 Rosedale Ln Bella Vista AR,2.0,,http://www.zillow.com/homes/comps/70669660_zpid/,http://www.zillow.com/homedetails/13-Rosedale-Ln-Bella-Vista-AR-72715/70669660_zpid/#charts-and-data,http://www.zillow.com/homedetails/13-Rosedale-Ln-Bella-Vista-AR-72715/70669660_zpid/,03/28/2007,71000,15246,http://www.zillow.com/homes/70669660_zpid/,1072,109993.0,93232.0,,104755.0
18,11018,14,Rosedale Ln,Bella Vista,AR,72715,14 Rosedale Ln Bella Vista AR,2.0,2,http://www.zillow.com/homes/comps/70615036_zpid/,http://www.zillow.com/homedetails/14-Rosedale-Ln-Bella-Vista-AR-72715/70615036_zpid/#charts-and-data,http://www.zillow.com/homedetails/14-Rosedale-Ln-Bella-Vista-AR-72715/70615036_zpid/,01/19/2011,91000,4040,http://www.zillow.com/homes/70615036_zpid/,1408,127150.0,115040.0,1988,121095.0
