,index,NUMBER,STREET,CITY,REGION,POSTCODE,ADDRESS,bathrooms,bedrooms,comps_link,graphs_data,home_details,last_sold_date,last_sold_price,lot_size_sqft,map,sqft,valuation_range_high,valuation_range_low,year_built,zestimate
0,12000,16,Stretford Dr,Bella Vista,AR,72714,16 Stretford Dr Bella Vista AR,2.0,3,http://www.zillow.com/homes/comps/70734035_zpid/,http://www.zillow.com/homedetails/16-Stretford-Dr-Bella-Vista-AR-72714/70734035_zpid/#charts-and-data,http://www.zillow.com/homedetails/16-Stretford-Dr-Bella-Vista-AR-72714/70734035_zpid/,08/23/2011,46000,26136,http://www.zillow.com/homes/70734035_zpid/,1431,123905.0,110925.0,,118005.0
1,12001,18,Stretford Dr,Bella Vista,AR,72714,18 Stretford Dr Bella Vista AR,1.5,2,http://www.zillow.com/homes/comps/70715517_zpid/,http://www.zillow.com/homedetails/18-Stretford-Dr-Bella-Vista-AR-72714/70715517_zpid/#charts-and-data,http://www.zillow.com/homedetails/18-Stretford-Dr-Bella-Vista-AR-72714/70715517_zpid/,06/12/2008,79000,22651,http://www.zillow.com/homes/70715517_zpid/,1015,86689.0,75239.0,1972,81782.0
2,12002,1,Stretton Ln,Bella Vista,AR,72714,1 Stretton Ln Bella Vista AR,2.0,,http://www.zillow.com/homes/comps/70610507_zpid/,http://www.zillow.com/homedetails/1-Stretton-Ln-Bella-Vista-AR-72714/70610507_zpid/#charts-and-data,http://www.zillow.com/homedetails/1-Stretton-Ln-Bella-Vista-AR-72714/70610507_zpid/,05/24/2012,175000,15246,http://www.zillow.com/homes/70610507_zpid/,1589,194745.0,172699.0,2008,183722.0
3,12003,6,Stretton Ln,Bella Vista,AR,72714,6 Stretton Ln Bella Vista AR,2.0,3,http://www.zillow.com/homes/comps/70646216_zpid/,http://www.zillow.com/homedetails/6-Stretton-Ln-Bella-Vista-AR-72714/70646216_zpid/#charts-and-data,http://www.zillow.com/homedetails/6-Stretton-Ln-Bella-Vista-AR-72714/70646216_zpid/,01/04/2013,130000,13068,http://www.zillow.com/homes/70646216_zpid/,2316,204687.0,185193.0,2006,194940.0
4,12004,5,Strichen Dr,Bella Vista,AR,72715,5 Strichen Dr Bella Vista AR,3.0,,http://www.zillow.com/homes/comps/70684851_zpid/,http://www.zillow.com/homedetails/5-Strichen-Dr-Bella-Vista-AR-72715/70684851_zpid/#charts-and-data,http://www.zillow.com/homedetails/5-Strichen-Dr-Bella-Vista-AR-72715/70684851_zpid/,03/10/2005,3000,15453,http://www.zillow.com/homes/70684851_zpid/,2483,280963.0,241575.0,2003,262582.0
5,12005,9,Strichen Dr,Bella Vista,AR,72715,9 Strichen Dr Bella Vista AR,2.0,3,http://www.zillow.com/homes/comps/70725915_zpid/,http://www.zillow.com/homedetails/9-Strichen-Dr-Bella-Vista-AR-72715/70725915_zpid/#charts-and-data,http://www.zillow.com/homedetails/9-Strichen-Dr-Bella-Vista-AR-72715/70725915_zpid/,09/17/2013,133000,11326,http://www.zillow.com/homes/70725915_zpid/,1652,172283.0,154234.0,2004,164079.0
6,12006,30,Strichen Dr,Bella Vista,AR,72715,30 Strichen Dr Bella Vista AR,2.0,,http://www.zillow.com/homes/comps/70719938_zpid/,http://www.zillow.com/homedetails/30-Strichen-Dr-Bella-Vista-AR-72715/70719938_zpid/#charts-and-data,http://www.zillow.com/homedetails/30-Strichen-Dr-Bella-Vista-AR-72715/70719938_zpid/,02/17/2004,131000,28750,http://www.zillow.com/homes/70719938_zpid/,2208,220668.0,191523.0,1989,208177.0
7,12007,34,Strichen Dr,Bella Vista,AR,72715,34 Strichen Dr Bella Vista AR,3.0,,http://www.zillow.com/homes/comps/70611036_zpid/,http://www.zillow.com/homedetails/34-Strichen-Dr-Bella-Vista-AR-72715/70611036_zpid/#charts-and-data,http://www.zillow.com/homedetails/34-Strichen-Dr-Bella-Vista-AR-72715/70611036_zpid/,07/16/2007,130000,40511,http://www.zillow.com/homes/70611036_zpid/,3887,572669.0,508445.0,2008,535205.0
8,12008,36,Strichen Dr,Bella Vista,AR,72715,36 Strichen Dr Bella Vista AR,4.0,3,http://www.zillow.com/homes/comps/70719138_zpid/,http://www.zillow.com/homedetails/36-Strichen-Dr-Bella-Vista-AR-72715/70719138_zpid/#charts-and-data,http://www.zillow.com/homedetails/36-Strichen-Dr-Bella-Vista-AR-72715/70719138_zpid/,10/17/2016,469000,40510,http://www.zillow.com/homes/70719138_zpid/,4136,524760.0,474782.0,1994,499771.0
9,12009,38,Strichen Dr,Bella Vista,AR,72715,38 Strichen Dr Bella Vista AR,3.0,3,http://www.zillow.com/homes/comps/70659542_zpid/,http://www.zillow.com/homedetails/38-Strichen-Dr-Bella-Vista-AR-72715/70659542_zpid/#charts-and-data,http://www.zillow.com/homedetails/38-Strichen-Dr-Bella-Vista-AR-72715/70659542_zpid/,05/02/2016,9827,28749,http://www.zillow.com/homes/70659542_zpid/,3443,441215.0,394993.0,2000,420205.0
