,index,NUMBER,STREET,CITY,REGION,POSTCODE,ADDRESS,bathrooms,bedrooms,comps_link,graphs_data,home_details,last_sold_date,last_sold_price,lot_size_sqft,map,sqft,valuation_range_high,valuation_range_low,year_built,zestimate
0,900,4,Barra Ln,Bella Vista,AR,72715,4 Barra Ln Bella Vista AR,3.5,,http://www.zillow.com/homes/comps/70729488_zpid/,http://www.zillow.com/homedetails/4-Barra-Ln-Bella-Vista-AR-72715/70729488_zpid/#charts-and-data,http://www.zillow.com/homedetails/4-Barra-Ln-Bella-Vista-AR-72715/70729488_zpid/,02/20/1998,100000,44867,http://www.zillow.com/homes/70729488_zpid/,2216,419324.0,326553.0,1998,371083.0
1,901,5,Barra Pl,Bella Vista,AR,72715,5 Barra Pl Bella Vista AR,,,,,,,,,,,,,,
2,902,5,Barra Ln,Bella Vista,AR,72715,5 Barra Ln Bella Vista AR,2.5,3,http://www.zillow.com/homes/comps/70733077_zpid/,http://www.zillow.com/homedetails/5-Barra-Ln-Bella-Vista-AR-72715/70733077_zpid/#charts-and-data,http://www.zillow.com/homedetails/5-Barra-Ln-Bella-Vista-AR-72715/70733077_zpid/,05/03/2012,189000,40946,http://www.zillow.com/homes/70733077_zpid/,1984,256455.0,232031.0,1997,244243.0
3,903,6,Barra Ln,Bella Vista,AR,72715,6 Barra Ln Bella Vista AR,6.0,5,http://www.zillow.com/homes/comps/70687969_zpid/,http://www.zillow.com/homedetails/6-Barra-Ln-Bella-Vista-AR-72715/70687969_zpid/#charts-and-data,http://www.zillow.com/homedetails/6-Barra-Ln-Bella-Vista-AR-72715/70687969_zpid/,04/02/2004,580000,51836,http://www.zillow.com/homes/70687969_zpid/,6150,823442.0,724324.0,1997,762446.0
4,904,7,Barra Pl,Bella Vista,AR,72715,7 Barra Pl Bella Vista AR,3.0,,http://www.zillow.com/homes/comps/70649959_zpid/,http://www.zillow.com/homedetails/7-Barra-Pl-Bella-Vista-AR-72715/70649959_zpid/#charts-and-data,http://www.zillow.com/homedetails/7-Barra-Pl-Bella-Vista-AR-72715/70649959_zpid/,08/31/2005,230000,28314,http://www.zillow.com/homes/70649959_zpid/,2338,248334.0,224684.0,2005,236509.0
5,905,7,Barra Ln,Bella Vista,AR,72715,7 Barra Ln Bella Vista AR,4.0,4,http://www.zillow.com/homes/comps/70674150_zpid/,http://www.zillow.com/homedetails/7-Barra-Ln-Bella-Vista-AR-72715/70674150_zpid/#charts-and-data,http://www.zillow.com/homedetails/7-Barra-Ln-Bella-Vista-AR-72715/70674150_zpid/,05/24/2004,260000,43560,http://www.zillow.com/homes/70674150_zpid/,2868,299313.0,270807.0,1997,285060.0
6,906,8,Barra Ln,Bella Vista,AR,72715,8 Barra Ln Bella Vista AR,3.0,3,http://www.zillow.com/homes/comps/70707049_zpid/,http://www.zillow.com/homedetails/8-Barra-Ln-Bella-Vista-AR-72715/70707049_zpid/#charts-and-data,http://www.zillow.com/homedetails/8-Barra-Ln-Bella-Vista-AR-72715/70707049_zpid/,07/22/2004,550000,53143,http://www.zillow.com/homes/70707049_zpid/,4426,854853.0,660895.0,1998,718364.0
7,907,10,Barra Ln,Bella Vista,AR,72715,10 Barra Ln Bella Vista AR,3.5,,http://www.zillow.com/homes/comps/70652816_zpid/,http://www.zillow.com/homedetails/10-Barra-Ln-Bella-Vista-AR-72715/70652816_zpid/#charts-and-data,http://www.zillow.com/homedetails/10-Barra-Ln-Bella-Vista-AR-72715/70652816_zpid/,02/08/2012,425000,73181,http://www.zillow.com/homes/70652816_zpid/,2327,545783.0,395693.0,1998,454819.0
8,908,1,Barrhead Ln,Bella Vista,AR,72715,1 Barrhead Ln Bella Vista AR,3.0,,http://www.zillow.com/homes/comps/70705079_zpid/,http://www.zillow.com/homedetails/1-Barrhead-Ln-Bella-Vista-AR-72715/70705079_zpid/#charts-and-data,http://www.zillow.com/homedetails/1-Barrhead-Ln-Bella-Vista-AR-72715/70705079_zpid/,08/02/2004,278000,19602,http://www.zillow.com/homes/70705079_zpid/,3028,343689.0,307684.0,2004,327323.0
9,909,2,Barrhead Ln,Bella Vista,AR,72715,2 Barrhead Ln Bella Vista AR,2.0,,http://www.zillow.com/homes/comps/70601543_zpid/,http://www.zillow.com/homedetails/2-Barrhead-Ln-Bella-Vista-AR-72715/70601543_zpid/#charts-and-data,http://www.zillow.com/homedetails/2-Barrhead-Ln-Bella-Vista-AR-72715/70601543_zpid/,02/23/2016,157000,20909,http://www.zillow.com/homes/70601543_zpid/,1767,181775.0,162912.0,2000,171486.0
