,index,NUMBER,STREET,CITY,REGION,POSTCODE,ADDRESS,bathrooms,bedrooms,comps_link,graphs_data,home_details,last_sold_date,last_sold_price,lot_size_sqft,map,sqft,valuation_range_high,valuation_range_low,year_built,zestimate
0,3000,228,Concordia Dr,Bella Vista,AR,72715,228 Concordia Dr Bella Vista AR,,,,,,,,,,,,,,
1,3001,229,Concordia Dr,Bella Vista,AR,72715,229 Concordia Dr Bella Vista AR,,,,,,,,,,,,,,
2,3002,230,Concordia Dr,Bella Vista,AR,72715,230 Concordia Dr Bella Vista AR,,,,,,,,,,,,,,
3,3003,231,Concordia Dr,Bella Vista,AR,72715,231 Concordia Dr Bella Vista AR,,,,,,,,,,,,,,
4,3004,301,Concordia Dr,Bella Vista,AR,72715,301 Concordia Dr Bella Vista AR,,,,,,,,,,,,,,
5,3005,302,Concordia Dr,Bella Vista,AR,72715,302 Concordia Dr Bella Vista AR,,,,,,,,,,,,,,
6,3006,303,Concordia Dr,Bella Vista,AR,72715,303 Concordia Dr Bella Vista AR,,,,,,,,,,,,,,
7,3007,304,Concordia Dr,Bella Vista,AR,72715,304 Concordia Dr Bella Vista AR,,,,,,,,,,,,,,
8,3008,305,Concordia Dr,Bella Vista,AR,72715,305 Concordia Dr Bella Vista AR,,,,,,,,,,,,,,
9,3009,306,Concordia Dr,Bella Vista,AR,72715,306 Concordia Dr Bella Vista AR,,,,,,,,,,,,,,
10,3010,307,Concordia Dr,Bella Vista,AR,72715,307 Concordia Dr Bella Vista AR,,,,,,,,,,,,,,
11,3011,308,Concordia Dr,Bella Vista,AR,72715,308 Concordia Dr Bella Vista AR,,,,,,,,,,,,,,
12,3012,309,Concordia Dr,Bella Vista,AR,72715,309 Concordia Dr Bella Vista AR,,,,,,,,,,,,,,
13,3013,310,Concordia Dr,Bella Vista,AR,72715,310 Concordia Dr Bella Vista AR,,,,,,,,,,,,,,
14,3014,311,Concordia Dr,Bella Vista,AR,72715,311 Concordia Dr Bella Vista AR,,,,,,,,,,,,,,
15,3015,312,Concordia Dr,Bella Vista,AR,72715,312 Concordia Dr Bella Vista AR,,,,,,,,,,,,,,
16,3016,313,Concordia Dr,Bella Vista,AR,72715,313 Concordia Dr Bella Vista AR,,,,,,,,,,,,,,
17,3017,314,Concordia Dr,Bella Vista,AR,72715,314 Concordia Dr Bella Vista AR,,,,,,,,,,,,,,
18,3018,315,Concordia Dr,Bella Vista,AR,72715,315 Concordia Dr Bella Vista AR,,,,,,,,,,,,,,
19,3019,316,Concordia Dr,Bella Vista,AR,72715,316 Concordia Dr Bella Vista AR,,,,,,,,,,,,,,
20,3020,317,Concordia Dr,Bella Vista,AR,72715,317 Concordia Dr Bella Vista AR,,,,,,,,,,,,,,
21,3021,318,Concordia Dr,Bella Vista,AR,72715,318 Concordia Dr Bella Vista AR,,,,,,,,,,,,,,
22,3022,319,Concordia Dr,Bella Vista,AR,72715,319 Concordia Dr Bella Vista AR,,,,,,,,,,,,,,
23,3023,320,Concordia Dr,Bella Vista,AR,72715,320 Concordia Dr Bella Vista AR,,,,,,,,,,,,,,
24,3024,321,Concordia Dr,Bella Vista,AR,72715,321 Concordia Dr Bella Vista AR,,,,,,,,,,,,,,
25,3025,322,Concordia Dr,Bella Vista,AR,72715,322 Concordia Dr Bella Vista AR,,,,,,,,,,,,,,
26,3026,323,Concordia Dr,Bella Vista,AR,72715,323 Concordia Dr Bella Vista AR,,,,,,,,,,,,,,
27,3027,324,Concordia Dr,Bella Vista,AR,72715,324 Concordia Dr Bella Vista AR,,,,,,,,,,,,,,
28,3028,325,Concordia Dr,Bella Vista,AR,72715,325 Concordia Dr Bella Vista AR,,,,,,,,,,,,,,
29,3029,326,Concordia Dr,Bella Vista,AR,72715,326 Concordia Dr Bella Vista AR,,,,,,,,,,,,,,
30,3030,327,Concordia Dr,Bella Vista,AR,72715,327 Concordia Dr Bella Vista AR,,,,,,,,,,,,,,
31,3031,328,Concordia Dr,Bella Vista,AR,72715,328 Concordia Dr Bella Vista AR,,,,,,,,,,,,,,
