,index,NUMBER,STREET,CITY,REGION,POSTCODE,ADDRESS,bathrooms,bedrooms,comps_link,graphs_data,home_details,last_sold_date,last_sold_price,lot_size_sqft,map,sqft,valuation_range_high,valuation_range_low,year_built,zestimate
0,2000,3,Buckden Ln,Bella Vista,AR,72715,3 Buckden Ln Bella Vista AR,2.0,3,http://www.zillow.com/homes/comps/70647050_zpid/,http://www.zillow.com/homedetails/3-Buckden-Ln-Bella-Vista-AR-72715/70647050_zpid/#charts-and-data,http://www.zillow.com/homedetails/3-Buckden-Ln-Bella-Vista-AR-72715/70647050_zpid/,01/19/2016,129000,10454,http://www.zillow.com/homes/70647050_zpid/,1455,145437.0,131585.0,2005,138511.0
1,2001,11,Buckden Ln,Bella Vista,AR,72715,11 Buckden Ln Bella Vista AR,2.5,3,http://www.zillow.com/homes/comps/70701183_zpid/,http://www.zillow.com/homedetails/11-Buckden-Ln-Bella-Vista-AR-72715/70701183_zpid/#charts-and-data,http://www.zillow.com/homedetails/11-Buckden-Ln-Bella-Vista-AR-72715/70701183_zpid/,12/03/2009,168000,11761,http://www.zillow.com/homes/70701183_zpid/,1877,187967.0,170065.0,2008,179016.0
2,2002,13,Buckden Ln,Bella Vista,AR,72715,13 Buckden Ln Bella Vista AR,3.0,3,http://www.zillow.com/homes/comps/70612842_zpid/,http://www.zillow.com/homedetails/13-Buckden-Ln-Bella-Vista-AR-72715/70612842_zpid/#charts-and-data,http://www.zillow.com/homedetails/13-Buckden-Ln-Bella-Vista-AR-72715/70612842_zpid/,10/06/2015,160000,12196,http://www.zillow.com/homes/70612842_zpid/,2384,208339.0,188497.0,2006,198418.0
3,2003,1,Buckfast Ln,Bella Vista,AR,72714,1 Buckfast Ln Bella Vista AR,2.0,,http://www.zillow.com/homes/comps/70601264_zpid/,http://www.zillow.com/homedetails/1-Buckfast-Ln-Bella-Vista-AR-72714/70601264_zpid/#charts-and-data,http://www.zillow.com/homedetails/1-Buckfast-Ln-Bella-Vista-AR-72714/70601264_zpid/,02/03/2008,138000,16117,http://www.zillow.com/homes/70601264_zpid/,1504,157557.0,142551.0,2003,150054.0
4,2004,3,Buckfast Ln,Bella Vista,AR,72714,3 Buckfast Ln Bella Vista AR,4.0,5,http://www.zillow.com/homes/comps/70657896_zpid/,http://www.zillow.com/homedetails/3-Buckfast-Ln-Bella-Vista-AR-72714/70657896_zpid/#charts-and-data,http://www.zillow.com/homedetails/3-Buckfast-Ln-Bella-Vista-AR-72714/70657896_zpid/,03/18/2009,270000,14810,http://www.zillow.com/homes/70657896_zpid/,2999,339335.0,307017.0,2008,323176.0
5,2005,6,Buckfast Ln,Bella Vista,AR,72714,6 Buckfast Ln Bella Vista AR,4.0,5,http://www.zillow.com/homes/comps/70696146_zpid/,http://www.zillow.com/homedetails/6-Buckfast-Ln-Bella-Vista-AR-72714/70696146_zpid/#charts-and-data,http://www.zillow.com/homedetails/6-Buckfast-Ln-Bella-Vista-AR-72714/70696146_zpid/,03/19/2014,282400,19166,http://www.zillow.com/homes/70696146_zpid/,4026,439262.0,377102.0,2004,414398.0
6,2006,1,Buckingham Dr,Bella Vista,AR,72714,1 Buckingham Dr Bella Vista AR,2.0,3,http://www.zillow.com/homes/comps/70666786_zpid/,http://www.zillow.com/homedetails/1-Buckingham-Dr-Bella-Vista-AR-72714/70666786_zpid/#charts-and-data,http://www.zillow.com/homedetails/1-Buckingham-Dr-Bella-Vista-AR-72714/70666786_zpid/,03/21/2006,123000,16117,http://www.zillow.com/homes/70666786_zpid/,1322,129235.0,116927.0,1994,123081.0
7,2007,2,Buckingham Dr,Bella Vista,AR,72714,2 Buckingham Dr Bella Vista AR,2.0,3,http://www.zillow.com/homes/comps/70692701_zpid/,http://www.zillow.com/homedetails/2-Buckingham-Dr-Bella-Vista-AR-72714/70692701_zpid/#charts-and-data,http://www.zillow.com/homedetails/2-Buckingham-Dr-Bella-Vista-AR-72714/70692701_zpid/,05/07/2015,125000,15246,http://www.zillow.com/homes/70692701_zpid/,1741,155960.0,136650.0,1992,148533.0
8,2008,3,Buckingham Dr,Bella Vista,AR,72714,3 Buckingham Dr Bella Vista AR,3.0,,http://www.zillow.com/homes/comps/70610739_zpid/,http://www.zillow.com/homedetails/3-Buckingham-Dr-Bella-Vista-AR-72714/70610739_zpid/#charts-and-data,http://www.zillow.com/homedetails/3-Buckingham-Dr-Bella-Vista-AR-72714/70610739_zpid/,04/09/2003,3000,16988,http://www.zillow.com/homes/70610739_zpid/,3345,346928.0,295051.0,2004,324232.0
9,2009,6,Buckingham Dr,Bella Vista,AR,72714,6 Buckingham Dr Bella Vista AR,2.0,3,http://www.zillow.com/homes/comps/70600972_zpid/,http://www.zillow.com/homedetails/6-Buckingham-Dr-Bella-Vista-AR-72714/70600972_zpid/#charts-and-data,http://www.zillow.com/homedetails/6-Buckingham-Dr-Bella-Vista-AR-72714/70600972_zpid/,05/22/2007,147000,10350,http://www.zillow.com/homes/70600972_zpid/,1704,177741.0,160813.0,2007,169277.0
