,index,NUMBER,STREET,CITY,REGION,POSTCODE,ADDRESS,bathrooms,bedrooms,comps_link,graphs_data,home_details,last_sold_date,last_sold_price,lot_size_sqft,map,sqft,valuation_range_high,valuation_range_low,year_built,zestimate
0,4000,6,Drew Ln,Bella Vista,AR,72714,6 Drew Ln Bella Vista AR,2.0,3,http://www.zillow.com/homes/comps/70713371_zpid/,http://www.zillow.com/homedetails/6-Drew-Ln-Bella-Vista-AR-72714/70713371_zpid/#charts-and-data,http://www.zillow.com/homedetails/6-Drew-Ln-Bella-Vista-AR-72714/70713371_zpid/,12/02/2011,130000,13504,http://www.zillow.com/homes/70713371_zpid/,1640,174141.0,157557.0,2007,165849.0
1,4001,8,Drew Ln,Bella Vista,AR,72714,8 Drew Ln Bella Vista AR,2.0,3,http://www.zillow.com/homes/comps/70694836_zpid/,http://www.zillow.com/homedetails/8-Drew-Ln-Bella-Vista-AR-72714/70694836_zpid/#charts-and-data,http://www.zillow.com/homedetails/8-Drew-Ln-Bella-Vista-AR-72714/70694836_zpid/,06/22/2009,128000,11326,http://www.zillow.com/homes/70694836_zpid/,1492,148694.0,134532.0,2001,141613.0
2,4002,10,Drew Ln,Bella Vista,AR,72714,10 Drew Ln Bella Vista AR,2.0,3,http://www.zillow.com/homes/comps/70623431_zpid/,http://www.zillow.com/homedetails/10-Drew-Ln-Bella-Vista-AR-72714/70623431_zpid/#charts-and-data,http://www.zillow.com/homedetails/10-Drew-Ln-Bella-Vista-AR-72714/70623431_zpid/,12/19/2014,105000,14374,http://www.zillow.com/homes/70623431_zpid/,1396,142839.0,127875.0,2002,136037.0
3,4003,11,Drew Ln,Bella Vista,AR,72714,11 Drew Ln Bella Vista AR,1.5,,http://www.zillow.com/homes/comps/70637338_zpid/,http://www.zillow.com/homedetails/11-Drew-Ln-Bella-Vista-AR-72714/70637338_zpid/#charts-and-data,http://www.zillow.com/homedetails/11-Drew-Ln-Bella-Vista-AR-72714/70637338_zpid/,10/07/2009,74000,40075,http://www.zillow.com/homes/70637338_zpid/,1614,152167.0,137675.0,,144921.0
4,4004,15,Drew Ln,Bella Vista,AR,72714,15 Drew Ln Bella Vista AR,2.0,,http://www.zillow.com/homes/comps/70711085_zpid/,http://www.zillow.com/homedetails/15-Drew-Ln-Bella-Vista-AR-72714/70711085_zpid/#charts-and-data,http://www.zillow.com/homedetails/15-Drew-Ln-Bella-Vista-AR-72714/70711085_zpid/,06/19/2007,168000,15246,http://www.zillow.com/homes/70711085_zpid/,1704,172529.0,156097.0,2002,164313.0
5,4005,18,Drew Ln,Bella Vista,AR,72714,18 Drew Ln Bella Vista AR,2.0,3,http://www.zillow.com/homes/comps/70613305_zpid/,http://www.zillow.com/homedetails/18-Drew-Ln-Bella-Vista-AR-72714/70613305_zpid/#charts-and-data,http://www.zillow.com/homedetails/18-Drew-Ln-Bella-Vista-AR-72714/70613305_zpid/,04/01/2013,128000,12196,http://www.zillow.com/homes/70613305_zpid/,1499,151921.0,137453.0,2002,144687.0
6,4006,20,Drew Ln,Bella Vista,AR,72714,20 Drew Ln Bella Vista AR,2.0,3,http://www.zillow.com/homes/comps/70721460_zpid/,http://www.zillow.com/homedetails/20-Drew-Ln-Bella-Vista-AR-72714/70721460_zpid/#charts-and-data,http://www.zillow.com/homedetails/20-Drew-Ln-Bella-Vista-AR-72714/70721460_zpid/,11/12/2014,170000,11761,http://www.zillow.com/homes/70721460_zpid/,1654,170161.0,153955.0,2004,162058.0
7,4007,21,Drew Ln,Bella Vista,AR,72714,21 Drew Ln Bella Vista AR,2.0,,http://www.zillow.com/homes/comps/70709819_zpid/,http://www.zillow.com/homedetails/21-Drew-Ln-Bella-Vista-AR-72714/70709819_zpid/#charts-and-data,http://www.zillow.com/homedetails/21-Drew-Ln-Bella-Vista-AR-72714/70709819_zpid/,10/21/2005,123000,14375,http://www.zillow.com/homes/70709819_zpid/,1388,136928.0,123888.0,1999,130408.0
8,4008,22,Drew Ln,Bella Vista,AR,72714,22 Drew Ln Bella Vista AR,2.0,3,http://www.zillow.com/homes/comps/70632715_zpid/,http://www.zillow.com/homedetails/22-Drew-Ln-Bella-Vista-AR-72714/70632715_zpid/#charts-and-data,http://www.zillow.com/homedetails/22-Drew-Ln-Bella-Vista-AR-72714/70632715_zpid/,10/17/2016,131900,12196,http://www.zillow.com/homes/70632715_zpid/,1344,137491.0,124397.0,2001,130944.0
9,4009,23,Drew Ln,Bella Vista,AR,72714,23 Drew Ln Bella Vista AR,2.0,3,http://www.zillow.com/homes/comps/70642022_zpid/,http://www.zillow.com/homedetails/23-Drew-Ln-Bella-Vista-AR-72714/70642022_zpid/#charts-and-data,http://www.zillow.com/homedetails/23-Drew-Ln-Bella-Vista-AR-72714/70642022_zpid/,06/20/2016,126000,4356,http://www.zillow.com/homes/70642022_zpid/,1350,136866.0,122528.0,2005,130349.0
