,index,NUMBER,STREET,CITY,REGION,POSTCODE,ADDRESS,bathrooms,bedrooms,comps_link,graphs_data,home_details,last_sold_date,last_sold_price,lot_size_sqft,map,sqft,valuation_range_high,valuation_range_low,year_built,zestimate
0,9000,20,Metfield Dr,Bella Vista,AR,72714,20 Metfield Dr Bella Vista AR,2.0,3,http://www.zillow.com/homes/comps/70659680_zpid/,http://www.zillow.com/homedetails/20-Metfield-Dr-Bella-Vista-AR-72714/70659680_zpid/#charts-and-data,http://www.zillow.com/homedetails/20-Metfield-Dr-Bella-Vista-AR-72714/70659680_zpid/,07/11/2014,140000,16988,http://www.zillow.com/homes/70659680_zpid/,1708,172595.0,156157.0,2001,164376.0
1,9001,22,Metfield Dr,Bella Vista,AR,72714,22 Metfield Dr Bella Vista AR,2.0,,http://www.zillow.com/homes/comps/70728662_zpid/,http://www.zillow.com/homedetails/22-Metfield-Dr-Bella-Vista-AR-72714/70728662_zpid/#charts-and-data,http://www.zillow.com/homedetails/22-Metfield-Dr-Bella-Vista-AR-72714/70728662_zpid/,03/25/2003,175000,19166,http://www.zillow.com/homes/70728662_zpid/,2147,225765.0,202113.0,2003,215014.0
2,9002,25,Metfield Dr,Bella Vista,AR,72714,25 Metfield Dr Bella Vista AR,2.0,3,http://www.zillow.com/homes/comps/70702715_zpid/,http://www.zillow.com/homedetails/25-Metfield-Dr-Bella-Vista-AR-72714/70702715_zpid/#charts-and-data,http://www.zillow.com/homedetails/25-Metfield-Dr-Bella-Vista-AR-72714/70702715_zpid/,09/09/2015,163500,13504,http://www.zillow.com/homes/70702715_zpid/,1894,224479.0,191828.0,2006,204072.0
3,9003,29,Metfield Dr,Bella Vista,AR,72714,29 Metfield Dr Bella Vista AR,3.0,3,http://www.zillow.com/homes/comps/70665209_zpid/,http://www.zillow.com/homedetails/29-Metfield-Dr-Bella-Vista-AR-72714/70665209_zpid/#charts-and-data,http://www.zillow.com/homedetails/29-Metfield-Dr-Bella-Vista-AR-72714/70665209_zpid/,09/10/1998,87000,14810,http://www.zillow.com/homes/70665209_zpid/,1814,192593.0,174251.0,2004,183422.0
4,9004,33,Metfield Dr,Bella Vista,AR,72714,33 Metfield Dr Bella Vista AR,2.0,3,http://www.zillow.com/homes/comps/70617198_zpid/,http://www.zillow.com/homedetails/33-Metfield-Dr-Bella-Vista-AR-72714/70617198_zpid/#charts-and-data,http://www.zillow.com/homedetails/33-Metfield-Dr-Bella-Vista-AR-72714/70617198_zpid/,12/02/2014,200000,17424,http://www.zillow.com/homes/70617198_zpid/,1600,168160.0,152144.0,2010,160152.0
5,9005,35,Metfield Dr,Bella Vista,AR,72714,35 Metfield Dr Bella Vista AR,2.0,3,http://www.zillow.com/homes/comps/70602384_zpid/,http://www.zillow.com/homedetails/35-Metfield-Dr-Bella-Vista-AR-72714/70602384_zpid/#charts-and-data,http://www.zillow.com/homedetails/35-Metfield-Dr-Bella-Vista-AR-72714/70602384_zpid/,07/01/2013,165000,18730,http://www.zillow.com/homes/70602384_zpid/,1898,195606.0,176976.0,1998,186291.0
6,9006,39,Metfield Dr,Bella Vista,AR,72714,39 Metfield Dr Bella Vista AR,3.0,4,http://www.zillow.com/homes/comps/70623509_zpid/,http://www.zillow.com/homedetails/39-Metfield-Dr-Bella-Vista-AR-72714/70623509_zpid/#charts-and-data,http://www.zillow.com/homedetails/39-Metfield-Dr-Bella-Vista-AR-72714/70623509_zpid/,09/28/2010,265000,10890,http://www.zillow.com/homes/70623509_zpid/,2831,283605.0,241589.0,2006,262597.0
7,9007,3,Methwold Ln,Bella Vista,AR,72714,3 Methwold Ln Bella Vista AR,2.0,,http://www.zillow.com/homes/comps/70618384_zpid/,http://www.zillow.com/homedetails/3-Methwold-Ln-Bella-Vista-AR-72714/70618384_zpid/#charts-and-data,http://www.zillow.com/homedetails/3-Methwold-Ln-Bella-Vista-AR-72714/70618384_zpid/,06/11/2002,5000,9583,http://www.zillow.com/homes/70618384_zpid/,1188,126818.0,113532.0,2003,120779.0
8,9008,4,Methwold Ln,Bella Vista,AR,72714,4 Methwold Ln Bella Vista AR,2.0,3,http://www.zillow.com/homes/comps/70689818_zpid/,http://www.zillow.com/homedetails/4-Methwold-Ln-Bella-Vista-AR-72714/70689818_zpid/#charts-and-data,http://www.zillow.com/homedetails/4-Methwold-Ln-Bella-Vista-AR-72714/70689818_zpid/,11/02/2012,75000,12632,http://www.zillow.com/homes/70689818_zpid/,1184,123291.0,109201.0,1998,117420.0
9,9009,7,Methwold Ln,Bella Vista,AR,72714,7 Methwold Ln Bella Vista AR,1.5,,http://www.zillow.com/homes/comps/70664631_zpid/,http://www.zillow.com/homedetails/7-Methwold-Ln-Bella-Vista-AR-72714/70664631_zpid/#charts-and-data,http://www.zillow.com/homedetails/7-Methwold-Ln-Bella-Vista-AR-72714/70664631_zpid/,02/28/2006,115000,13068,http://www.zillow.com/homes/70664631_zpid/,1235,123578.0,109454.0,1998,117693.0
10,9010,1,Meyer Ln,Bella Vista,AR,72714,1 Meyer Ln Bella Vista AR,2.0,,http://www.zillow.com/homes/comps/70714342_zpid/,http://www.zillow.com/homedetails/1-Meyer-Ln-Bella-Vista-AR-72714/70714342_zpid/#charts-and-data,http://www.zillow.com/homedetails/1-Meyer-Ln-Bella-Vista-AR-72714/70714342_zpid/,04/11/2005,174000,12632,http://www.zillow.com/homes/70714342_zpid/,1721,176046.0,159280.0,2005,167663.0
11,9011,2,Meyer Ln,Bella Vista,AR,72714,2 Meyer Ln Bella Vista AR,2.0,,http://www.zillow.com/homes/comps/70663034_zpid/,http://www.zillow.com/homedetails/2-Meyer-Ln-Bella-Vista-AR-72714/70663034_zpid/#charts-and-data,http://www.zillow.com/homedetails/2-Meyer-Ln-Bella-Vista-AR-72714/70663034_zpid/,11/23/2005,139000,17860,http://www.zillow.com/homes/70663034_zpid/,1474,147786.0,133712.0,2003,140749.0
12,9012,3,Meyer Ln,Bella Vista,AR,72714,3 Meyer Ln Bella Vista AR,2.0,,http://www.zillow.com/homes/comps/70723026_zpid/,http://www.zillow.com/homedetails/3-Meyer-Ln-Bella-Vista-AR-72714/70723026_zpid/#charts-and-data,http://www.zillow.com/homedetails/3-Meyer-Ln-Bella-Vista-AR-72714/70723026_zpid/,10/13/2006,118000,13504,http://www.zillow.com/homes/70723026_zpid/,1226,127685.0,115525.0,1998,121605.0
13,9013,4,Meyer Ln,Bella Vista,AR,72714,4 Meyer Ln Bella Vista AR,2.0,3,http://www.zillow.com/homes/comps/70676975_zpid/,http://www.zillow.com/homedetails/4-Meyer-Ln-Bella-Vista-AR-72714/70676975_zpid/#charts-and-data,http://www.zillow.com/homedetails/4-Meyer-Ln-Bella-Vista-AR-72714/70676975_zpid/,,,13939,http://www.zillow.com/homes/70676975_zpid/,1724,176287.0,159497.0,2006,167892.0
14,9014,5,Meyer Ln,Bella Vista,AR,72714,5 Meyer Ln Bella Vista AR,2.0,,http://www.zillow.com/homes/comps/70632111_zpid/,http://www.zillow.com/homedetails/5-Meyer-Ln-Bella-Vista-AR-72714/70632111_zpid/#charts-and-data,http://www.zillow.com/homedetails/5-Meyer-Ln-Bella-Vista-AR-72714/70632111_zpid/,09/09/2005,110000,13504,http://www.zillow.com/homes/70632111_zpid/,1155,124006.0,111015.0,1998,118101.0
15,9015,6,Meyer Ln,Bella Vista,AR,72714,6 Meyer Ln Bella Vista AR,2.0,3,http://www.zillow.com/homes/comps/70705999_zpid/,http://www.zillow.com/homedetails/6-Meyer-Ln-Bella-Vista-AR-72714/70705999_zpid/#charts-and-data,http://www.zillow.com/homedetails/6-Meyer-Ln-Bella-Vista-AR-72714/70705999_zpid/,07/12/2011,123000,12197,http://www.zillow.com/homes/70705999_zpid/,170,167130.0,151212.0,2005,159171.0
16,9016,8,Meyer Ln,Bella Vista,AR,72714,8 Meyer Ln Bella Vista AR,2.0,,http://www.zillow.com/homes/comps/70717157_zpid/,http://www.zillow.com/homedetails/8-Meyer-Ln-Bella-Vista-AR-72714/70717157_zpid/#charts-and-data,http://www.zillow.com/homedetails/8-Meyer-Ln-Bella-Vista-AR-72714/70717157_zpid/,04/17/2007,152000,14375,http://www.zillow.com/homes/70717157_zpid/,1760,177804.0,160870.0,2006,169337.0
17,9017,9,Meyer Ln,Bella Vista,AR,72714,9 Meyer Ln Bella Vista AR,2.0,,http://www.zillow.com/homes/comps/70674730_zpid/,http://www.zillow.com/homedetails/9-Meyer-Ln-Bella-Vista-AR-72714/70674730_zpid/#charts-and-data,http://www.zillow.com/homedetails/9-Meyer-Ln-Bella-Vista-AR-72714/70674730_zpid/,06/22/2004,210000,17860,http://www.zillow.com/homes/70674730_zpid/,2376,242841.0,217400.0,2004,231277.0
18,9018,10,Meyer Ln,Bella Vista,AR,72714,10 Meyer Ln Bella Vista AR,2.0,,http://www.zillow.com/homes/comps/70652894_zpid/,http://www.zillow.com/homedetails/10-Meyer-Ln-Bella-Vista-AR-72714/70652894_zpid/#charts-and-data,http://www.zillow.com/homedetails/10-Meyer-Ln-Bella-Vista-AR-72714/70652894_zpid/,12/21/2006,200000,17424,http://www.zillow.com/homes/70652894_zpid/,1942,196593.0,177869.0,2006,187231.0
19,9019,1,Michael Ln,Bella Vista,AR,72715,1 Michael Ln Bella Vista AR,2.0,,http://www.zillow.com/homes/comps/70615307_zpid/,http://www.zillow.com/homedetails/1-Michael-Ln-Bella-Vista-AR-72715/70615307_zpid/#charts-and-data,http://www.zillow.com/homedetails/1-Michael-Ln-Bella-Vista-AR-72715/70615307_zpid/,12/23/2009,38000,12197,http://www.zillow.com/homes/70615307_zpid/,1510,131162.0,114923.0,,124916.0
20,9020,2,Michael Ln,Bella Vista,AR,72715,2 Michael Ln Bella Vista AR,3.0,,http://www.zillow.com/homes/comps/70705997_zpid/,http://www.zillow.com/homedetails/2-Michael-Ln-Bella-Vista-AR-72715/70705997_zpid/#charts-and-data,http://www.zillow.com/homedetails/2-Michael-Ln-Bella-Vista-AR-72715/70705997_zpid/,04/28/1997,73000,13068,http://www.zillow.com/homes/70705997_zpid/,2010,188777.0,170799.0,,179788.0
21,9021,3,Michael Ln,Bella Vista,AR,72715,3 Michael Ln Bella Vista AR,2.0,2,http://www.zillow.com/homes/comps/70667807_zpid/,http://www.zillow.com/homedetails/3-Michael-Ln-Bella-Vista-AR-72715/70667807_zpid/#charts-and-data,http://www.zillow.com/homedetails/3-Michael-Ln-Bella-Vista-AR-72715/70667807_zpid/,04/11/2013,62000,13068,http://www.zillow.com/homes/70667807_zpid/,1155,100522.0,81733.0,1984,93946.0
22,9022,4,Michael Ln,Bella Vista,AR,72715,4 Michael Ln Bella Vista AR,2.0,,http://www.zillow.com/homes/comps/70726852_zpid/,http://www.zillow.com/homedetails/4-Michael-Ln-Bella-Vista-AR-72715/70726852_zpid/#charts-and-data,http://www.zillow.com/homedetails/4-Michael-Ln-Bella-Vista-AR-72715/70726852_zpid/,11/01/2005,114000,12632,http://www.zillow.com/homes/70726852_zpid/,1454,140675.0,125937.0,,133976.0
23,9023,5,Michael Ln,Bella Vista,AR,72715,5 Michael Ln Bella Vista AR,2.0,3,http://www.zillow.com/homes/comps/70721327_zpid/,http://www.zillow.com/homedetails/5-Michael-Ln-Bella-Vista-AR-72715/70721327_zpid/#charts-and-data,http://www.zillow.com/homedetails/5-Michael-Ln-Bella-Vista-AR-72715/70721327_zpid/,07/31/2015,108000,14374,http://www.zillow.com/homes/70721327_zpid/,2084,166577.0,144367.0,1977,158645.0
