,index,NUMBER,STREET,CITY,REGION,POSTCODE,ADDRESS,bathrooms,bedrooms,comps_link,graphs_data,home_details,last_sold_date,last_sold_price,lot_size_sqft,map,sqft,valuation_range_high,valuation_range_low,year_built,zestimate
0,5000,40,Fenchurch Dr,Bella Vista,AR,72715,40 Fenchurch Dr Bella Vista AR,3.5,4,http://www.zillow.com/homes/comps/70696888_zpid/,http://www.zillow.com/homedetails/40-Fenchurch-Dr-Bella-Vista-AR-72715/70696888_zpid/#charts-and-data,http://www.zillow.com/homedetails/40-Fenchurch-Dr-Bella-Vista-AR-72715/70696888_zpid/,03/11/2016,196000,17424,http://www.zillow.com/homes/70696888_zpid/,3041,249282.0,225540.0,1982,237411.0
1,5001,44,Fenchurch Dr,Bella Vista,AR,72715,44 Fenchurch Dr Bella Vista AR,3.0,5,http://www.zillow.com/homes/comps/70692113_zpid/,http://www.zillow.com/homedetails/44-Fenchurch-Dr-Bella-Vista-AR-72715/70692113_zpid/#charts-and-data,http://www.zillow.com/homedetails/44-Fenchurch-Dr-Bella-Vista-AR-72715/70692113_zpid/,11/22/2011,175000,24500,http://www.zillow.com/homes/70692113_zpid/,3395,319805.0,217467.0,1983,255844.0
2,5002,46,Fenchurch Dr,Bella Vista,AR,72715,46 Fenchurch Dr Bella Vista AR,2.0,2,http://www.zillow.com/homes/comps/70655398_zpid/,http://www.zillow.com/homedetails/46-Fenchurch-Dr-Bella-Vista-AR-72715/70655398_zpid/#charts-and-data,http://www.zillow.com/homedetails/46-Fenchurch-Dr-Bella-Vista-AR-72715/70655398_zpid/,03/20/2008,142000,33,http://www.zillow.com/homes/70655398_zpid/,1866,171553.0,153581.0,,163384.0
3,5003,48,Fenchurch Dr,Bella Vista,AR,72715,48 Fenchurch Dr Bella Vista AR,2.0,3,http://www.zillow.com/homes/comps/70618374_zpid/,http://www.zillow.com/homedetails/48-Fenchurch-Dr-Bella-Vista-AR-72715/70618374_zpid/#charts-and-data,http://www.zillow.com/homedetails/48-Fenchurch-Dr-Bella-Vista-AR-72715/70618374_zpid/,09/27/2013,143000,16117,http://www.zillow.com/homes/70618374_zpid/,2008,194762.0,176214.0,2000,185488.0
4,5004,8,Fetlar Ln,Bella Vista,AR,72715,8 Fetlar Ln Bella Vista AR,2.0,3,http://www.zillow.com/homes/comps/70668566_zpid/,http://www.zillow.com/homedetails/8-Fetlar-Ln-Bella-Vista-AR-72715/70668566_zpid/#charts-and-data,http://www.zillow.com/homedetails/8-Fetlar-Ln-Bella-Vista-AR-72715/70668566_zpid/,04/20/2011,135000,26136,http://www.zillow.com/homes/70668566_zpid/,2114,195622.0,176992.0,1991,186307.0
5,5005,2,Fields Ln,Bella Vista,AR,72715,2 Fields Ln Bella Vista AR,2.0,2,http://www.zillow.com/homes/comps/70601421_zpid/,http://www.zillow.com/homedetails/2-Fields-Ln-Bella-Vista-AR-72715/70601421_zpid/#charts-and-data,http://www.zillow.com/homedetails/2-Fields-Ln-Bella-Vista-AR-72715/70601421_zpid/,08/19/2015,105000,16117,http://www.zillow.com/homes/70601421_zpid/,1436,128744.0,115256.0,1989,122613.0
6,5006,20,Fields Ln,Bella Vista,AR,72715,20 Fields Ln Bella Vista AR,2.0,,http://www.zillow.com/homes/comps/70689758_zpid/,http://www.zillow.com/homedetails/20-Fields-Ln-Bella-Vista-AR-72715/70689758_zpid/#charts-and-data,http://www.zillow.com/homedetails/20-Fields-Ln-Bella-Vista-AR-72715/70689758_zpid/,02/05/2014,109900,12632,http://www.zillow.com/homes/70689758_zpid/,1402,,,1994,
7,5007,34,Fields Ln,Bella Vista,AR,72715,34 Fields Ln Bella Vista AR,3.0,4,http://www.zillow.com/homes/comps/70718504_zpid/,http://www.zillow.com/homedetails/34-Fields-Ln-Bella-Vista-AR-72715/70718504_zpid/#charts-and-data,http://www.zillow.com/homedetails/34-Fields-Ln-Bella-Vista-AR-72715/70718504_zpid/,10/19/2010,290000,130680,http://www.zillow.com/homes/70718504_zpid/,3250,375469.0,311710.0,2002,354216.0
8,5008,2,Filkins Ln,Bella Vista,AR,72714,2 Filkins Ln Bella Vista AR,1.5,,http://www.zillow.com/homes/comps/70710229_zpid/,http://www.zillow.com/homedetails/2-Filkins-Ln-Bella-Vista-AR-72714/70710229_zpid/#charts-and-data,http://www.zillow.com/homedetails/2-Filkins-Ln-Bella-Vista-AR-72714/70710229_zpid/,09/29/2014,72000,14375,http://www.zillow.com/homes/70710229_zpid/,1040,103243.0,86193.0,,94718.0
9,5009,2,Filton Cir,Bella Vista,AR,72714,2 Filton Cir Bella Vista AR,2.0,,http://www.zillow.com/homes/comps/70654182_zpid/,http://www.zillow.com/homedetails/2-Filton-Cir-Bella-Vista-AR-72714/70654182_zpid/#charts-and-data,http://www.zillow.com/homedetails/2-Filton-Cir-Bella-Vista-AR-72714/70654182_zpid/,05/29/2007,193000,16988,http://www.zillow.com/homes/70654182_zpid/,1921,195803.0,177155.0,2006,186479.0
10,5010,1,Finchley Ln,Bella Vista,AR,72714,1 Finchley Ln Bella Vista AR,2.5,3,http://www.zillow.com/homes/comps/70679123_zpid/,http://www.zillow.com/homedetails/1-Finchley-Ln-Bella-Vista-AR-72714/70679123_zpid/#charts-and-data,http://www.zillow.com/homedetails/1-Finchley-Ln-Bella-Vista-AR-72714/70679123_zpid/,08/20/2009,258000,30491,http://www.zillow.com/homes/70679123_zpid/,3174,359284.0,316037.0,1999,332670.0
11,5011,2,Finchley Ln,Bella Vista,AR,72714,2 Finchley Ln Bella Vista AR,3.0,3,http://www.zillow.com/homes/comps/70658968_zpid/,http://www.zillow.com/homedetails/2-Finchley-Ln-Bella-Vista-AR-72714/70658968_zpid/#charts-and-data,http://www.zillow.com/homedetails/2-Finchley-Ln-Bella-Vista-AR-72714/70658968_zpid/,04/10/2012,230000,16988,http://www.zillow.com/homes/70658968_zpid/,2700,298126.0,269734.0,1998,283930.0
12,5012,6,Finchley Ln,Bella Vista,AR,72714,6 Finchley Ln Bella Vista AR,2.0,,http://www.zillow.com/homes/comps/70703255_zpid/,http://www.zillow.com/homedetails/6-Finchley-Ln-Bella-Vista-AR-72714/70703255_zpid/#charts-and-data,http://www.zillow.com/homedetails/6-Finchley-Ln-Bella-Vista-AR-72714/70703255_zpid/,01/29/2004,10000,13939,http://www.zillow.com/homes/70703255_zpid/,2590,255338.0,231020.0,2000,243179.0
13,5013,8,Finchley Ln,Bella Vista,AR,72714,8 Finchley Ln Bella Vista AR,2.0,,http://www.zillow.com/homes/comps/70635443_zpid/,http://www.zillow.com/homedetails/8-Finchley-Ln-Bella-Vista-AR-72714/70635443_zpid/#charts-and-data,http://www.zillow.com/homedetails/8-Finchley-Ln-Bella-Vista-AR-72714/70635443_zpid/,06/04/2009,138000,20473,http://www.zillow.com/homes/70635443_zpid/,1908,217157.0,194622.0,1997,204865.0
