,index,NUMBER,STREET,CITY,REGION,POSTCODE,ADDRESS,bathrooms,bedrooms,comps_link,graphs_data,home_details,last_sold_date,last_sold_price,lot_size_sqft,map,sqft,valuation_range_high,valuation_range_low,year_built,zestimate
0,1200,2912,Bella Vista Way,Bella Vista,AR,72714,2912 Bella Vista Way Bella Vista AR,,,,,,,,,,,,,,
1,1201,2914,Bella Vista Way,Bella Vista,AR,72714,2914 Bella Vista Way Bella Vista AR,,,,,,,,,,,,,,
2,1202,2916,Bella Vista Way,Bella Vista,AR,72714,2916 Bella Vista Way Bella Vista AR,,,,,,,,,,,,,,
3,1203,4,Bellingham Ln,Bella Vista,AR,72714,4 Bellingham Ln Bella Vista AR,1.5,2,http://www.zillow.com/homes/comps/70623831_zpid/,http://www.zillow.com/homedetails/4-Bellingham-Ln-Bella-Vista-AR-72714/70623831_zpid/#charts-and-data,http://www.zillow.com/homedetails/4-Bellingham-Ln-Bella-Vista-AR-72714/70623831_zpid/,04/30/2014,79900,14374,http://www.zillow.com/homes/70623831_zpid/,1232,102443.0,85047.0,1972,96644.0
4,1204,6,Bellingham Ln,Bella Vista,AR,72714,6 Bellingham Ln Bella Vista AR,2.0,2,http://www.zillow.com/homes/comps/70706322_zpid/,http://www.zillow.com/homedetails/6-Bellingham-Ln-Bella-Vista-AR-72714/70706322_zpid/#charts-and-data,http://www.zillow.com/homedetails/6-Bellingham-Ln-Bella-Vista-AR-72714/70706322_zpid/,04/30/2004,69000,15682,http://www.zillow.com/homes/70706322_zpid/,1540,137928.0,118410.0,1972,130121.0
5,1205,10,Bellingham Ln,Bella Vista,AR,72714,10 Bellingham Ln Bella Vista AR,2.0,,http://www.zillow.com/homes/comps/70693759_zpid/,http://www.zillow.com/homedetails/10-Bellingham-Ln-Bella-Vista-AR-72714/70693759_zpid/#charts-and-data,http://www.zillow.com/homedetails/10-Bellingham-Ln-Bella-Vista-AR-72714/70693759_zpid/,08/29/2011,62000,13939,http://www.zillow.com/homes/70693759_zpid/,1182,98593.0,84772.0,1971,92143.0
6,1206,12,Bellingham Ln,Bella Vista,AR,72714,12 Bellingham Ln Bella Vista AR,1.5,,http://www.zillow.com/homes/comps/70710545_zpid/,http://www.zillow.com/homedetails/12-Bellingham-Ln-Bella-Vista-AR-72714/70710545_zpid/#charts-and-data,http://www.zillow.com/homedetails/12-Bellingham-Ln-Bella-Vista-AR-72714/70710545_zpid/,10/24/1994,62000,12632,http://www.zillow.com/homes/70710545_zpid/,1040,87200.0,78896.0,,83048.0
7,1207,22,Bellingham Ln,Bella Vista,AR,72714,22 Bellingham Ln Bella Vista AR,1.0,2,http://www.zillow.com/homes/comps/70601532_zpid/,http://www.zillow.com/homedetails/22-Bellingham-Ln-Bella-Vista-AR-72714/70601532_zpid/#charts-and-data,http://www.zillow.com/homedetails/22-Bellingham-Ln-Bella-Vista-AR-72714/70601532_zpid/,07/21/2014,38000,13068,http://www.zillow.com/homes/70601532_zpid/,1015,111248.0,87410.0,1976,99329.0
8,1208,24,Bellingham Ln,Bella Vista,AR,72714,24 Bellingham Ln Bella Vista AR,1.0,2,http://www.zillow.com/homes/comps/70725032_zpid/,http://www.zillow.com/homedetails/24-Bellingham-Ln-Bella-Vista-AR-72714/70725032_zpid/#charts-and-data,http://www.zillow.com/homedetails/24-Bellingham-Ln-Bella-Vista-AR-72714/70725032_zpid/,07/21/2014,38000,13068,http://www.zillow.com/homes/70725032_zpid/,950,82634.0,74764.0,1976,78699.0
9,1209,1,Belvoir Cir,Bella Vista,AR,72715,1 Belvoir Cir Bella Vista AR,2.0,,http://www.zillow.com/homes/comps/70652621_zpid/,http://www.zillow.com/homedetails/1-Belvoir-Cir-Bella-Vista-AR-72715/70652621_zpid/#charts-and-data,http://www.zillow.com/homedetails/1-Belvoir-Cir-Bella-Vista-AR-72715/70652621_zpid/,06/15/2005,6000,15682,http://www.zillow.com/homes/70652621_zpid/,1742,175264.0,158572.0,2006,166918.0
10,1210,1,Belvoir Ln,Bella Vista,AR,72715,1 Belvoir Ln Bella Vista AR,3.0,,http://www.zillow.com/homes/comps/70614559_zpid/,http://www.zillow.com/homedetails/1-Belvoir-Ln-Bella-Vista-AR-72715/70614559_zpid/#charts-and-data,http://www.zillow.com/homedetails/1-Belvoir-Ln-Bella-Vista-AR-72715/70614559_zpid/,10/13/2009,9000,15682,http://www.zillow.com/homes/70614559_zpid/,2042,210707.0,190639.0,2006,200673.0
11,1211,2,Belvoir Cir,Bella Vista,AR,72715,2 Belvoir Cir Bella Vista AR,2.0,3,http://www.zillow.com/homes/comps/70658650_zpid/,http://www.zillow.com/homedetails/2-Belvoir-Cir-Bella-Vista-AR-72715/70658650_zpid/#charts-and-data,http://www.zillow.com/homedetails/2-Belvoir-Cir-Bella-Vista-AR-72715/70658650_zpid/,04/03/2012,98000,16988,http://www.zillow.com/homes/70658650_zpid/,1216,120822.0,108165.0,1990,115069.0
12,1212,2,Belvoir Ln,Bella Vista,AR,72715,2 Belvoir Ln Bella Vista AR,2.0,2,http://www.zillow.com/homes/comps/70670309_zpid/,http://www.zillow.com/homedetails/2-Belvoir-Ln-Bella-Vista-AR-72715/70670309_zpid/#charts-and-data,http://www.zillow.com/homedetails/2-Belvoir-Ln-Bella-Vista-AR-72715/70670309_zpid/,09/02/2004,90000,16117,http://www.zillow.com/homes/70670309_zpid/,1250,118636.0,105078.0,1978,112987.0
13,1213,3,Belvoir Ln,Bella Vista,AR,72715,3 Belvoir Ln Bella Vista AR,1.5,2,http://www.zillow.com/homes/comps/70638952_zpid/,http://www.zillow.com/homedetails/3-Belvoir-Ln-Bella-Vista-AR-72715/70638952_zpid/#charts-and-data,http://www.zillow.com/homedetails/3-Belvoir-Ln-Bella-Vista-AR-72715/70638952_zpid/,11/02/2015,95000,13895,http://www.zillow.com/homes/70638952_zpid/,1184,115276.0,99906.0,1995,109787.0
14,1214,4,Belvoir Cir,Bella Vista,AR,72715,4 Belvoir Cir Bella Vista AR,2.0,2,http://www.zillow.com/homes/comps/70644718_zpid/,http://www.zillow.com/homedetails/4-Belvoir-Cir-Bella-Vista-AR-72715/70644718_zpid/#charts-and-data,http://www.zillow.com/homedetails/4-Belvoir-Cir-Bella-Vista-AR-72715/70644718_zpid/,02/22/2016,115700,13068,http://www.zillow.com/homes/70644718_zpid/,1329,127404.0,115270.0,2009,121337.0
15,1215,6,Belvoir Ln,Bella Vista,AR,72715,6 Belvoir Ln Bella Vista AR,1.5,,http://www.zillow.com/homes/comps/70651356_zpid/,http://www.zillow.com/homedetails/6-Belvoir-Ln-Bella-Vista-AR-72715/70651356_zpid/#charts-and-data,http://www.zillow.com/homedetails/6-Belvoir-Ln-Bella-Vista-AR-72715/70651356_zpid/,09/01/1989,50000,12197,http://www.zillow.com/homes/70651356_zpid/,1532,133822.0,118672.0,1989,126247.0
16,1216,14,Belvoir Ln,Bella Vista,AR,72715,14 Belvoir Ln Bella Vista AR,2.0,,http://www.zillow.com/homes/comps/70688963_zpid/,http://www.zillow.com/homedetails/14-Belvoir-Ln-Bella-Vista-AR-72715/70688963_zpid/#charts-and-data,http://www.zillow.com/homedetails/14-Belvoir-Ln-Bella-Vista-AR-72715/70688963_zpid/,01/01/2003,4000,16553,http://www.zillow.com/homes/70688963_zpid/,2023,189292.0,171264.0,1996,180278.0
17,1217,1,Bembridge Ln,Bella Vista,AR,72715,1 Bembridge Ln Bella Vista AR,,,,,,,,,,,,,,
18,1218,4,Bembridge Ln,Bella Vista,AR,72715,4 Bembridge Ln Bella Vista AR,,,,,,,,,,,,,,
19,1219,10,Bembridge Ln,Bella Vista,AR,72715,10 Bembridge Ln Bella Vista AR,,,,,,,,,,,,,,
