,NUMBER,STREET,CITY,REGION,POSTCODE,ADDRESS,bathrooms,bedrooms,comps_link,graphs_data,home_details,last_sold_date,last_sold_price,lot_size_sqft,map,sqft,valuation_range_high,valuation_range_low,year_built,zestimate
530,4,Amber Ln,Bella Vista,AR,72714,4 Amber Ln Bella Vista AR,2.0,,http://www.zillow.com/homes/comps/70635639_zpid/,http://www.zillow.com/homedetails/4-Amber-Ln-Bella-Vista-AR-72714/70635639_zpid/#charts-and-data,http://www.zillow.com/homedetails/4-Amber-Ln-Bella-Vista-AR-72714/70635639_zpid/,03/30/2005,112000,10890,http://www.zillow.com/homes/70635639_zpid/,1711,,,2005,
531,11,Amble Dr,Bella Vista,AR,72714,11 Amble Dr Bella Vista AR,2.0,3,http://www.zillow.com/homes/comps/70677927_zpid/,http://www.zillow.com/homedetails/11-Amble-Dr-Bella-Vista-AR-72714/70677927_zpid/#charts-and-data,http://www.zillow.com/homedetails/11-Amble-Dr-Bella-Vista-AR-72714/70677927_zpid/,12/11/2012,128000,15681,http://www.zillow.com/homes/70677927_zpid/,1466,149943.0,135663.0,2004,142803.0
532,1,Amelia Cir,Bella Vista,AR,72715,1 Amelia Cir Bella Vista AR,2.0,,http://www.zillow.com/homes/comps/70684007_zpid/,http://www.zillow.com/homedetails/1-Amelia-Cir-Bella-Vista-AR-72715/70684007_zpid/#charts-and-data,http://www.zillow.com/homedetails/1-Amelia-Cir-Bella-Vista-AR-72715/70684007_zpid/,06/03/2002,103000,16553,http://www.zillow.com/homes/70684007_zpid/,1522,155572.0,140756.0,2002,148164.0
533,1,Ames Ln,Bella Vista,AR,72715,1 Ames Ln Bella Vista AR,1.5,,http://www.zillow.com/homes/comps/70600636_zpid/,http://www.zillow.com/homedetails/1-Ames-Ln-Bella-Vista-AR-72715/70600636_zpid/#charts-and-data,http://www.zillow.com/homedetails/1-Ames-Ln-Bella-Vista-AR-72715/70600636_zpid/,11/04/2011,70000,13504,http://www.zillow.com/homes/70600636_zpid/,1388,125433.0,109903.0,,119460.0
534,2,Ames Ln,Bella Vista,AR,72715,2 Ames Ln Bella Vista AR,2.0,,http://www.zillow.com/homes/comps/70651574_zpid/,http://www.zillow.com/homedetails/2-Ames-Ln-Bella-Vista-AR-72715/70651574_zpid/#charts-and-data,http://www.zillow.com/homedetails/2-Ames-Ln-Bella-Vista-AR-72715/70651574_zpid/,04/30/2002,68000,13504,http://www.zillow.com/homes/70651574_zpid/,1200,113480.0,98632.0,,106056.0
535,3,Ames Ln,Bella Vista,AR,72715,3 Ames Ln Bella Vista AR,2.0,2,http://www.zillow.com/homes/comps/70689904_zpid/,http://www.zillow.com/homedetails/3-Ames-Ln-Bella-Vista-AR-72715/70689904_zpid/#charts-and-data,http://www.zillow.com/homedetails/3-Ames-Ln-Bella-Vista-AR-72715/70689904_zpid/,06/17/2014,75000,14375,http://www.zillow.com/homes/70689904_zpid/,1127,102374.0,90051.0,,94791.0
536,4,Ames Ln,Bella Vista,AR,72715,4 Ames Ln Bella Vista AR,2.0,,http://www.zillow.com/homes/comps/70637953_zpid/,http://www.zillow.com/homedetails/4-Ames-Ln-Bella-Vista-AR-72715/70637953_zpid/#charts-and-data,http://www.zillow.com/homedetails/4-Ames-Ln-Bella-Vista-AR-72715/70637953_zpid/,02/22/2002,119000,14375,http://www.zillow.com/homes/70637953_zpid/,1617,141717.0,124171.0,1996,134969.0
537,1,Amesbury Dr,Bella Vista,AR,72715,1 Amesbury Dr Bella Vista AR,2.0,,http://www.zillow.com/homes/comps/70681786_zpid/,http://www.zillow.com/homedetails/1-Amesbury-Dr-Bella-Vista-AR-72715/70681786_zpid/#charts-and-data,http://www.zillow.com/homedetails/1-Amesbury-Dr-Bella-Vista-AR-72715/70681786_zpid/,09/02/2009,135000,15246,http://www.zillow.com/homes/70681786_zpid/,1656,163642.0,146499.0,2002,155850.0
538,2,Amesbury Dr,Bella Vista,AR,72715,2 Amesbury Dr Bella Vista AR,2.0,2,http://www.zillow.com/homes/comps/70639260_zpid/,http://www.zillow.com/homedetails/2-Amesbury-Dr-Bella-Vista-AR-72715/70639260_zpid/#charts-and-data,http://www.zillow.com/homedetails/2-Amesbury-Dr-Bella-Vista-AR-72715/70639260_zpid/,12/31/2002,121000,10890,http://www.zillow.com/homes/70639260_zpid/,2004,178682.0,161664.0,1996,170173.0
539,3,Amesbury Dr,Bella Vista,AR,72715,3 Amesbury Dr Bella Vista AR,3.0,,http://www.zillow.com/homes/comps/70659810_zpid/,http://www.zillow.com/homedetails/3-Amesbury-Dr-Bella-Vista-AR-72715/70659810_zpid/#charts-and-data,http://www.zillow.com/homedetails/3-Amesbury-Dr-Bella-Vista-AR-72715/70659810_zpid/,10/19/2012,113000,12632,http://www.zillow.com/homes/70659810_zpid/,1346,130863.0,117153.0,,124631.0
540,6,Amesbury Dr,Bella Vista,AR,72715,6 Amesbury Dr Bella Vista AR,2.0,2,http://www.zillow.com/homes/comps/70671697_zpid/,http://www.zillow.com/homedetails/6-Amesbury-Dr-Bella-Vista-AR-72715/70671697_zpid/#charts-and-data,http://www.zillow.com/homedetails/6-Amesbury-Dr-Bella-Vista-AR-72715/70671697_zpid/,11/22/2013,84000,9670,http://www.zillow.com/homes/70671697_zpid/,1400,122694.0,103200.0,1986,114667.0
541,7,Amesbury Dr,Bella Vista,AR,72715,7 Amesbury Dr Bella Vista AR,2.0,2,http://www.zillow.com/homes/comps/70608318_zpid/,http://www.zillow.com/homedetails/7-Amesbury-Dr-Bella-Vista-AR-72715/70608318_zpid/#charts-and-data,http://www.zillow.com/homedetails/7-Amesbury-Dr-Bella-Vista-AR-72715/70608318_zpid/,08/26/2014,114000,11326,http://www.zillow.com/homes/70608318_zpid/,1613,137164.0,121636.0,1987,129400.0
542,8,Amesbury Dr,Bella Vista,AR,72715,8 Amesbury Dr Bella Vista AR,2.0,2,http://www.zillow.com/homes/comps/70624518_zpid/,http://www.zillow.com/homedetails/8-Amesbury-Dr-Bella-Vista-AR-72715/70624518_zpid/#charts-and-data,http://www.zillow.com/homedetails/8-Amesbury-Dr-Bella-Vista-AR-72715/70624518_zpid/,11/02/2015,60195,10454,http://www.zillow.com/homes/70624518_zpid/,1276,113589.0,101689.0,1984,108180.0
543,12,Amesbury Dr,Bella Vista,AR,72715,12 Amesbury Dr Bella Vista AR,2.0,,http://www.zillow.com/homes/comps/70701439_zpid/,http://www.zillow.com/homedetails/12-Amesbury-Dr-Bella-Vista-AR-72715/70701439_zpid/#charts-and-data,http://www.zillow.com/homedetails/12-Amesbury-Dr-Bella-Vista-AR-72715/70701439_zpid/,06/18/1998,70000,11761,http://www.zillow.com/homes/70701439_zpid/,1565,136186.0,123216.0,,129701.0
